creator_name,channel_id,official_channel_title,subscriber_count,video_count,view_count
Veritasium,UCHnyfMqiRRG1u-2MsSQLbXA,Veritasium,20800000,509,4320842698
TED,UCAuUUnT6oDeKwE6v1NGQxug,TED,27500000,5670,3158379521
TED-Ed,UCsooa4yRKGN_zEE8iknghZA,TED-Ed,22700000,2360,4618538267
Kurzgesagt – In a Nutshell,UCsXVk37bltHxD1rDPwtNM8Q,Kurzgesagt – In a Nutshell,25300000,367,3725347029
Mark Rober,UCY1kMZp36IQSyNx_9h4mpCg,Mark Rober,78200000,258,17451960551
CrashCourse,UCX6b17PVsYBQ0ip5gyeme-Q,CrashCourse,17100000,1694,2261871152
Vsauce,UC6nSFpj9HTCZ5t-N3Rm3-HA,Vsauce,24900000,641,6722317531
Khan Academy,UC4a-Gbdw7vOaccHmFo40b9g,Khan Academy,9370000,9098,2220168142
CGP Grey,UC2C_jShtL725hvbm1arSV9w,CGP Grey,7000000,195,1244063402
AsapSCIENCE,UCC552Sd-3nyi_tk2BudLUzA,AsapSCIENCE,10800000,552,2059602833
MinutePhysics,UCUHW94eEFW7hkUMVaZz4eDg,minutephysics,5960000,310,584466870
MinuteEarth,UCeiYXex_fwgYDonaTcSIk6w,MinuteEarth,3290000,494,618810538
Numberphile,UCoxcjq-8xIDTYp3uz647V5A,Numberphile,4750000,806,723133941
3Blue1Brown,UCYO_jab_esuFRV4b17AJtAw,3Blue1Brown,8380000,236,750104687
SmarterEveryDay,UC6107grRI4m0o2-emgoDnAA,SmarterEveryDay,11900000,396,1273422660
Practical Engineering,UCMOqf8ab-42UUQIdVoKwjlQ,Practical Engineering,4760000,243,541289737
Real Engineering,UCR1IuLEqb6UEA_zQ81kwXfg,Real Engineering,5070000,287,709130618
Physics Girl,UC7DdEm33SyaTDtWYGO2CwdA,Physics Girl,3540000,314,538728538
SciShow,UCZYTClx2T1of7BRZ86-8fow,SciShow,8390000,4157,2225361048
Big Think,UCvQECJukTDE2i6aCoMnS-Vg,Big Think,8760000,10064,1035528230
National Geographic,UCpVm7bg6pXKo1Pr6k5kxG9A,National Geographic,26100000,11412,6991777601
Tom Scott,UCBa659QWEk1AI4Tg--mrJ2A,Tom Scott,6710000,742,1918036065
NileRed,UCFhXFikryT4aFcLkLw2LBLA,NileRed,10700000,398,4579753058
The Organic Chemistry Tutor,UCEWpbFLzoYGPfuWUMFPSaoA,The Organic Chemistry Tutor,10700000,3106,1742760775
Professor Dave Explains,UC0cd_-e49hZpWLH3UIwoWRA,Professor Dave Explains,4320000,2075,512164861
