creator_name,channel_id,official_channel_title,subscriber_count,video_count,view_count
Marques Brownlee,UCBJycsmduvYEL83R_U4JriQ,Marques Brownlee,21000000,1827,5434126347
Linus Tech Tips,UCXuqSBlHAE6Xw-yeJA0Tunw,Linus Tech Tips,16800000,7793,9560863422
Mrwhosetheboss,UCMiJRAwDNSNzuYeN2uWa0pA,Mrwhosetheboss,22600000,1910,8703734539
Unbox Therapy,UCsTcErHg8oDvUnTzoqsYeNw,Unbox Therapy,25400000,2520,5146998340
JerryRigEverything,UCWFKCr40YwOZQx8FHU_ZqqQ,JerryRigEverything,9980000,1554,2958205410
Dave2D,UCVYamHliCI9rw1tHR1xbkfw,Dave2D,3690000,833,859880046
TechLinked,UCeeFfhMcJa1kjtfZAGskOCA,TechLinked,1990000,1316,660531507
Austin Evans,UCXGgrKt94gR6lmN4aN3mYTg,Austin Evans,5780000,2692,1686765561
iJustine,UCey_c7U86mJGz1VJWH5CYPA,iJustine,7060000,2866,1576027087
Snazzy Labs,UCO2x-p9gg9TLKneXlibGR7w,Snazzy Labs,1250000,1238,264350561
Hardware Canucks,UCTzLRZUgelatKZ4nyIKcAbg,Hardware Canucks,1920000,2413,572028827
Techquickie,UC0vBXGSyV14uvJ4hECDOl0Q,Techquickie,4310000,1282,919150936
The Verge,UCddiUEpeqJcYeBxX1IVBKvQ,The Verge,3510000,6116,1138544754
CNET,UCOmcA3f_RrH6b9NmcNa4tdg,CNET,4080000,24390,2072085593
Android Authority,UCgyqtNWZmIxTx3b6OxTSALw,Android Authority,3420000,5366,863138563
Sara Dietschy,UC3fg6pL63upkXCc0T203wVg,Sara Dietschy,932000,742,109978256
ColdFusion,UC4QZ_LsYcvcq7qOsOhpAX4A,ColdFusion,5200000,570,564430804
Tech Burner,UCXUJJNoP1QupwsYIWFXmsZg,Tech Burner,12500000,1603,2502013359
This Is,UCPT9_sNLoBLjH1uea7zpVIA,This is Хорошо,6330000,1972,2537313049
Matthew Moniz,UCVlMUh4WsDQvOxCJJXmWwdw,Matthew Moniz,930000,2080,396732209
Hayls World,UCIxLxlan8q9WA7sjuq6LdTQ,Hayls World,2670000,526,361786751
Rene Ritchie,UCLBHPoY3NugnZYURxln3fKQ,Rene Ritchie,309000,499,55618254
Fireship,UCsBjURrPoezykLs9EqgamOA,Fireship,4210000,813,704638403
NetworkChuck,UC9x0AN7BWHpCDHSm9NiJFJQ,NetworkChuck,5290000,598,405764989
Low Level Learning,UC6biysICWOJ-C3P4Tyeggzg,Low Level,1120000,359,133030014
